,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,1.3133333333333332,5.7583333333333355,3.850000000000001,9.608333333333336,4.833333333333333,58.041666666666664,36.857142857142854,715.5041666666667,,90.08333333333333,4.041666666666665,0.07536363636363635,6.072916666666667,4.216666666666666,196.29166666666666
2015-01-02,1.4095833333333332,8.791666666666666,3.8375,12.629166666666668,3.7083333333333335,52.333333333333336,28.11764705882353,712.7583333333333,,90.04166666666667,4.433333333333333,0.10375,6.3187500000000005,3.5500000000000003,193.375
2015-01-03,1.82875,20.241666666666667,6.029166666666666,26.270833333333332,4.333333333333333,117.41666666666667,58.041666666666664,712.7666666666665,,86.375,4.786956521739131,0.11958333333333332,8.8075,2.658333333333333,224.79166666666666
2015-01-04,1.7991666666666664,11.23913043478261,5.134782608695652,16.37391304347826,14.333333333333334,100.0,37.44444444444444,721.2624999999999,,63.75,5.383333333333333,0.20792857142857143,12.554166666666665,8.458333333333334,179.20833333333334
2015-01-05,1.5904166666666668,5.129166666666666,5.974999999999999,11.104166666666666,19.208333333333332,66.29166666666667,15.681818181818182,724.6625,,67.125,9.783333333333333,0.18600000000000003,10.120416666666667,7.512500000000002,139.70833333333334
2015-01-06,1.5504166666666663,9.979166666666666,9.795833333333336,19.775000000000002,12.208333333333334,119.0,40.625,721.1125000000001,,71.58333333333333,6.7625,0.19957142857142854,12.475833333333332,5.641666666666667,210.83333333333334
2015-01-07,1.310416666666667,9.741666666666664,4.7,14.441666666666665,15.791666666666666,99.875,33.10526315789474,722.4708333333334,0.038,81.875,5.1625000000000005,0.19009090909090906,12.425833333333332,10.862499999999999,185.375
2015-01-08,0.7929166666666666,4.270833333333333,4.508333333333334,8.779166666666665,14.875,57.375,21.714285714285715,722.9874999999998,,78.83333333333333,3.9142857142857146,0.07353846153846154,4.512499999999999,7.541666666666668,134.41666666666666
2015-01-09,1.2116666666666667,9.26666666666667,5.841666666666668,15.108333333333333,5.5,78.625,31.61904761904762,719.4291666666668,0.055,86.70833333333333,4.045833333333333,0.029714285714285717,6.009166666666668,3.4000000000000004,202.20833333333334
2015-01-10,1.1154166666666665,7.904347826086956,4.521739130434781,12.426086956521738,6.5,25.958333333333332,21.375,719.8041666666667,,90.0,3.9541666666666675,0.031684210526315794,4.540416666666666,2.787500000000001,196.66666666666666
2015-01-11,1.7058333333333333,11.729166666666666,6.512499999999999,18.24166666666667,11.208333333333334,85.08333333333333,36.666666666666664,716.2208333333333,,81.08333333333333,5.445833333333334,0.29766666666666663,10.085416666666667,4.495833333333334,174.95833333333334
2015-01-12,2.162173913043479,11.408333333333333,6.995833333333334,18.404166666666665,19.375,148.58333333333334,45.72727272727273,716.6749999999998,,71.875,9.633333333333335,0.23921428571428574,14.380416666666667,8.999999999999998,195.75
2015-01-13,0.9891666666666669,4.590909090909092,3.263636363636363,7.854545454545454,8.5,17.25,12.0,719.75,0.015,87.08333333333333,3.7375000000000003,0.04441666666666667,7.449583333333332,6.725000000000002,156.95833333333334
2015-01-14,0.9991666666666664,7.395833333333333,3.7166666666666672,11.112499999999999,5.166666666666667,19.291666666666668,11.4,718.0083333333333,,90.5,3.5749999999999997,0.04276923076923077,5.883333333333333,2.6624999999999996,205.54166666666666
2015-01-15,1.2054166666666666,10.395833333333334,5.179166666666666,15.575000000000001,5.458333333333333,66.16666666666667,19.75,719.9125,0.01,79.875,4.879166666666666,0.1374,8.329583333333334,4.05,192.83333333333334
2015-01-16,1.49,9.066666666666665,7.616666666666666,16.683333333333334,14.666666666666666,115.20833333333333,26.333333333333332,719.6333333333333,,66.25,5.270833333333332,0.20486666666666667,12.009583333333332,5.408333333333332,202.375
2015-01-17,2.3837500000000005,18.479166666666664,11.879166666666665,30.35833333333333,16.333333333333332,251.08333333333334,65.54166666666667,715.9541666666669,,63.208333333333336,6.229166666666667,0.2413333333333333,16.503333333333334,4.054166666666667,224.66666666666666
2015-01-18,1.2816666666666665,5.1291666666666655,6.8,11.929166666666669,22.708333333333332,98.91666666666667,31.5625,719.8291666666665,,44.583333333333336,5.900000000000001,0.18733333333333335,16.673750000000002,5.587499999999999,145.41666666666666
2015-01-19,1.645833333333333,9.779166666666665,9.883333333333333,19.662499999999994,17.458333333333332,185.66666666666666,35.666666666666664,714.5333333333333,,51.916666666666664,6.091666666666668,0.24266666666666667,18.45,5.491666666666668,234.20833333333334
2015-01-20,1.2895238095238095,7.595238095238094,6.519047619047618,14.114285714285714,21.761904761904763,129.23809523809524,21.952380952380953,711.747619047619,,49.80952380952381,5.814285714285714,0.3043333333333334,21.95904761904762,7.576190476190476,223.8095238095238
2015-01-21,1.0980000000000003,2.9699999999999998,4.0200000000000005,6.99,28.1,98.9,34.5,710.59,,71.9,9.76,0.1848,19.775000000000006,10.3,101.1
2015-01-22,1.1895833333333332,4.991666666666666,3.9333333333333336,8.925,12.25,74.54166666666667,33.0,712.7041666666665,,86.875,4.583333333333334,0.03415384615384615,13.960416666666667,7.837500000000001,168.41666666666666
2015-01-23,0.9720833333333334,4.25,4.425,8.675,15.25,39.958333333333336,10.0,718.2708333333335,,70.0,3.9272727272727277,0.21341666666666667,9.829583333333334,7.5,174.66666666666666
2015-01-24,1.4799999999999998,11.75,8.658333333333333,20.40833333333334,9.291666666666666,142.95833333333334,38.458333333333336,719.0041666666666,,64.20833333333333,6.400000000000001,0.17069230769230764,10.086250000000001,3.8625000000000003,243.375
2015-01-25,1.5808333333333333,10.5625,6.754166666666666,17.316666666666674,13.708333333333334,121.0,31.363636363636363,716.6041666666669,,46.916666666666664,5.825,0.1814285714285714,14.91125,6.137499999999999,246.83333333333334
2015-01-26,1.8762499999999998,13.558333333333337,6.604166666666668,20.162499999999998,19.375,134.29166666666666,21.75,719.1458333333334,,40.166666666666664,7.6916666666666655,0.2168461538461538,16.952083333333334,4.8374999999999995,165.25
2015-01-27,1.4283333333333335,7.604166666666667,7.212499999999999,14.81666666666667,27.25,138.66666666666666,24.541666666666668,717.7124999999997,,40.0,7.929166666666667,0.3099166666666666,19.425,5.612500000000001,228.58333333333334
2015-01-28,1.741666666666667,11.824999999999998,8.979166666666666,20.804166666666664,22.208333333333332,191.29166666666666,36.208333333333336,715.9625,,46.583333333333336,8.983333333333333,0.23092307692307695,19.43708333333333,5.354166666666667,226.58333333333334
2015-01-29,1.3295833333333331,8.108333333333334,6.0583333333333345,14.166666666666671,22.583333333333332,130.875,26.583333333333332,716.5250000000001,,56.541666666666664,7.954166666666667,0.31016666666666665,19.063333333333333,7.766666666666667,189.54166666666666
2015-01-30,1.0108333333333335,3.041666666666666,2.2375,5.279166666666668,23.291666666666668,52.0,15.375,718.0083333333332,0.032857142857142856,85.08333333333333,5.4375,0.13599999999999998,16.602916666666665,14.241666666666665,101.45833333333333
2015-01-31,1.5366666666666664,7.9363636363636365,4.9,12.836363636363636,12.583333333333334,59.958333333333336,28.304347826086957,712.7333333333332,0.060000000000000005,89.16666666666667,4.949999999999999,0.06323076923076923,15.342916666666667,7.908333333333334,159.20833333333334
2015-02-01,1.5766666666666669,,,,7.708333333333333,81.83333333333333,29.608695652173914,712.0041666666665,0.02,78.04166666666667,4.754166666666667,0.12399999999999999,17.567083333333333,5.895833333333333,233.79166666666666
2015-02-02,0.9345833333333334,,,,19.583333333333332,23.458333333333332,11.538461538461538,719.1375000000002,0.037,80.625,4.469565217391304,0.05116666666666667,8.317083333333331,9.608333333333333,162.95833333333334
