,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2017-10-01 00:00:00,,,,,,,,,,,,,,,
2017-10-01 01:00:00,0.10999999940395355,1.899999976158142,1.0,2.5999999046325684,32.0,42.0,,708.0,0.0,93.0,8.199999809265137,0.004000000189989805,20.850000381469727,,106.0
2017-10-01 02:00:00,,2.9000000953674316,,,37.0,53.0,,707.5,0.0,90.0,8.300000190734863,0.004000000189989805,20.989999771118164,,138.0
2017-10-01 03:00:00,,0.5,2.0999999046325684,2.299999952316284,26.0,20.0,,707.0,0.0,93.0,8.199999809265137,0.003000000026077032,20.84000015258789,,142.0
2017-10-01 04:00:00,0.05000000074505806,0.8999999761581421,1.2000000476837158,1.7000000476837158,19.0,58.0,,706.5999755859375,0.0,94.0,8.100000381469727,0.003000000026077032,20.780000686645508,,132.0
2017-10-01 05:00:00,,1.399999976158142,1.7999999523162842,2.9000000953674316,19.0,43.0,,706.5,0.0,94.0,7.900000095367432,0.003000000026077032,20.6200008392334,,107.0
2017-10-01 06:00:00,,,,,29.0,35.0,,706.5,0.0,92.0,8.0,0.003000000026077032,20.719999313354492,,109.0
2017-10-01 07:00:00,,,,,26.0,38.0,,706.7000122070312,0.0,93.0,8.0,0.007000000216066837,20.670000076293945,,113.0
2017-10-01 08:00:00,0.05000000074505806,,,,20.0,22.0,,706.9000244140625,0.0,93.0,7.800000190734863,0.05400000140070915,20.920000076293945,,123.0
2017-10-01 09:00:00,0.05000000074505806,5.800000190734863,0.8999999761581421,6.400000095367432,33.0,52.0,,707.2000122070312,0.0,85.0,8.699999809265137,0.1459999978542328,22.139999389648438,,126.0
2017-10-01 10:00:00,0.12999999523162842,5.599999904632568,1.2999999523162842,6.400000095367432,33.0,23.0,,707.4000244140625,0.0,83.0,8.800000190734863,0.15399999916553497,22.780000686645508,,107.0
2017-10-01 11:00:00,0.1599999964237213,6.199999809265137,1.7999999523162842,7.699999809265137,37.0,42.0,,707.5999755859375,0.0,79.0,8.300000190734863,0.27900001406669617,23.739999771118164,,109.0
2017-10-01 12:00:00,0.15000000596046448,2.700000047683716,1.2000000476837158,3.5999999046325684,42.0,50.0,,707.2000122070312,0.0,73.0,8.5,0.421999990940094,24.860000610351562,,96.0
2017-10-01 13:00:00,0.2199999988079071,1.399999976158142,3.200000047683716,4.300000190734863,41.0,41.0,,706.5,0.0,69.0,8.100000381469727,0.49000000953674316,25.639999389648438,,77.0
2017-10-01 14:00:00,0.23999999463558197,,,,39.0,49.0,,706.0,0.0,70.0,7.699999809265137,0.210999995470047,25.1299991607666,,69.0
2017-10-01 15:00:00,0.1899999976158142,,,,39.0,43.0,,705.2999877929688,0.0,75.0,7.900000095367432,0.11800000071525574,24.6299991607666,,87.0
2017-10-01 16:00:00,0.18000000715255737,1.5,1.399999976158142,2.5999999046325684,34.0,56.0,,704.9000244140625,0.0,80.0,8.199999809265137,0.28999999165534973,24.440000534057617,,112.0
2017-10-01 17:00:00,0.15000000596046448,,,,37.0,43.0,,704.5,0.0,71.0,8.399999618530273,0.20900000631809235,25.3700008392334,,104.0
2017-10-01 18:00:00,0.15000000596046448,3.5,2.5999999046325684,5.699999809265137,35.0,54.0,,704.5,0.0,72.0,7.900000095367432,0.057999998331069946,24.799999237060547,,130.0
2017-10-01 19:00:00,0.18000000715255737,,,,31.0,54.0,,704.5999755859375,0.0,75.0,8.100000381469727,0.00800000037997961,23.920000076293945,,130.0
2017-10-01 20:00:00,0.2199999988079071,,,,23.0,70.0,,704.7000122070312,0.0,78.0,8.300000190734863,0.0020000000949949026,23.1299991607666,,114.0
2017-10-01 21:00:00,0.1599999964237213,,,,25.0,75.0,,704.7000122070312,0.0,82.0,7.900000095367432,0.0020000000949949026,22.6299991607666,,116.0
2017-10-01 22:00:00,0.17000000178813934,1.5,3.799999952316284,4.900000095367432,18.0,48.0,,705.0,0.0,85.0,8.300000190734863,0.0020000000949949026,21.649999618530273,,106.0
2017-10-01 23:00:00,0.12999999523162842,6.0,0.8999999761581421,6.5,10.0,50.0,,705.0999755859375,0.0,89.0,8.0,0.0020000000949949026,20.940000534057617,,109.0
2017-10-02 00:00:00,0.07000000029802322,3.0999999046325684,3.5,6.300000190734863,10.0,38.0,,705.0,0.0,90.0,8.0,0.0020000000949949026,20.489999771118164,,114.0
2017-10-02 01:00:00,,4.400000095367432,1.100000023841858,5.099999904632568,18.0,51.0,,704.7999877929688,0.0,88.0,7.900000095367432,0.003000000026077032,20.969999313354492,,105.0
2017-10-02 02:00:00,,,,,23.0,48.0,,704.4000244140625,0.0,85.0,8.199999809265137,0.0020000000949949026,21.260000228881836,,123.0
2017-10-02 03:00:00,,,,,20.0,35.0,,704.0999755859375,0.0,86.0,7.400000095367432,0.0020000000949949026,20.899999618530273,,116.0
2017-10-02 04:00:00,,4.599999904632568,0.699999988079071,5.0,11.0,43.0,,703.7999877929688,0.0,90.0,7.699999809265137,0.0020000000949949026,20.170000076293945,,139.0
2017-10-02 05:00:00,,,,,15.0,46.0,,703.9000244140625,0.0,90.0,8.199999809265137,0.0020000000949949026,19.729999542236328,,244.0
2017-10-02 06:00:00,0.07000000029802322,,,,7.0,27.0,,704.2999877929688,0.0,93.0,8.0,0.0020000000949949026,19.850000381469727,,255.0
2017-10-02 07:00:00,0.10000000149011612,,,,8.0,55.0,,704.5,0.0,94.0,8.399999618530273,0.008999999612569809,19.65999984741211,,229.0
2017-10-02 08:00:00,0.2199999988079071,2.5999999046325684,5.800000190734863,7.900000095367432,7.0,72.0,,704.9000244140625,0.0,87.0,8.600000381469727,0.10700000077486038,20.979999542236328,,266.0
2017-10-02 09:00:00,0.6700000166893005,12.199999809265137,5.5,16.799999237060547,8.0,54.0,,705.2999877929688,0.0,82.0,9.899999618530273,0.2919999957084656,23.040000915527344,,315.0
2017-10-02 10:00:00,0.550000011920929,6.699999809265137,6.0,12.300000190734863,,127.0,,705.4000244140625,0.0,77.0,10.0,0.4490000009536743,24.149999618530273,,318.0
2017-10-02 11:00:00,0.4300000071525574,3.0,7.400000095367432,10.0,,116.0,37.0,705.2999877929688,0.0,67.0,9.5,0.5550000071525574,26.440000534057617,,355.0
2017-10-02 12:00:00,0.10000000149011612,,,,,85.0,33.0,705.0,0.0,58.0,8.699999809265137,0.6880000233650208,27.81999969482422,,91.0
2017-10-02 13:00:00,0.10999999940395355,,,,,31.0,9.0,704.5999755859375,0.0,58.0,8.399999618530273,0.5440000295639038,27.809999465942383,,88.0
2017-10-02 14:00:00,0.14000000059604645,,,,,32.0,7.0,704.2000122070312,0.0,62.0,8.5,0.3799999952316284,27.530000686645508,,88.0
2017-10-02 15:00:00,0.05000000074505806,1.2000000476837158,0.6000000238418579,1.5,,38.0,7.0,703.7000122070312,0.0,60.0,8.600000381469727,0.5360000133514404,28.170000076293945,,109.0
2017-10-02 16:00:00,,1.399999976158142,1.2999999523162842,2.299999952316284,,31.0,13.0,703.5,0.0,59.0,8.5,0.18700000643730164,28.25,,101.0
2017-10-02 17:00:00,0.05000000074505806,0.8999999761581421,4.599999904632568,5.199999809265137,,36.0,11.0,703.5,0.0,60.0,7.599999904632568,0.16699999570846558,28.020000457763672,,94.0
2017-10-02 18:00:00,0.05999999865889549,2.700000047683716,2.5999999046325684,4.800000190734863,,30.0,,703.4000244140625,0.0,60.0,8.300000190734863,0.05999999865889549,27.65999984741211,,102.0
2017-10-02 19:00:00,,5.400000095367432,4.599999904632568,9.600000381469727,,46.0,14.0,703.5999755859375,0.0,66.0,8.199999809265137,0.00800000037997961,26.309999465942383,,120.0
